CLOSE_x,CLOSE_y,HIGH_x,HIGH_y,LOW_x,LOW_y,OPEN_x,OPEN_y,VOLUME_x,VOLUME_y,date,lo_hi%_x,lo_hi%_y,op_cl%_x,op_cl%_y,ticker,time_x,time_y,volume_change,volume_change_perc,week_day_x,week_day_y
7.56,7.49,7.56,7.6,7.56,7.42,7.56,7.56,10217,179201,2015-08-13,0.0,0.0242587601078,0.0,-0.00925925925926,ARIA,9.3,10.0,168984,16.5394930019,3,3
7.31,7.295,7.31,7.37,7.31,7.2699,7.31,7.35,22000,179167,2015-08-14,0.0,0.0137691027387,0.0,-0.00748299319728,ARIA,9.3,10.0,157167,7.14395454545,4,4
7.13,7.315,7.23,7.35,7.13,7.13,7.23,7.13,14856,109681,2015-08-17,0.0140252454418,0.0308555399719,-0.0138312586445,0.0259467040673,ARIA,9.3,10.0,94825,6.38294291869,0,0
7.54,7.495,7.54,7.56,7.54,7.46,7.54,7.5163,15711,171107,2015-08-18,0.0,0.0134048257373,0.0,-0.00283384111864,ARIA,9.3,10.0,155396,9.89090446184,1,1
7.28,7.31,7.28,7.39,7.28,7.22,7.28,7.25,19763,178120,2015-08-19,0.0,0.0235457063712,0.0,0.00827586206897,ARIA,9.3,10.0,158357,8.01280170015,2,2
7.21,7.14,7.21,7.24,7.11,7.1,7.11,7.21,18708,181343,2015-08-20,0.014064697609,0.0197183098592,0.014064697609,-0.00970873786408,ARIA,9.3,10.0,162635,8.6933397477,3,3
6.51,6.82,6.52,6.82,6.5,6.45,6.5,6.5,131027,825197,2015-08-21,0.00307692307692,0.0573643410853,0.00153846153846,0.0492307692308,ARIA,9.3,10.0,694170,5.29791569676,4,4
5.95,6.305,5.95,6.47,5.95,5.8,5.95,5.88,74777,595473,2015-08-24,0.0,0.115517241379,0.0,0.0722789115646,ARIA,9.3,10.0,520696,6.96331759766,0,0
6.8,6.515,6.83,6.8,6.8,6.455,6.83,6.8,63036,688460,2015-08-25,0.00441176470588,0.0534469403563,-0.00439238653001,-0.0419117647059,ARIA,9.3,10.0,625424,9.92169553906,1,1
6.66,6.465,6.74,6.74,6.66,6.4401,6.74,6.66,25425,655951,2015-08-26,0.012012012012,0.046567599882,-0.0118694362018,-0.0292792792793,ARIA,9.3,10.0,630526,24.7994493609,2,2
6.77,6.69,6.77,6.88,6.77,6.67,6.77,6.79,27295,259823,2015-08-27,0.0,0.0314842578711,0.0,-0.0147275405007,ARIA,9.3,10.0,232528,8.51906942663,3,3
6.9,7.0751,6.9,7.0979,6.9,6.9,6.9,6.9,33622,312605,2015-08-28,0.0,0.0286811594203,0.0,0.0253768115942,ARIA,9.3,10.0,278983,8.29763250253,4,4
4.38,4.48,4.38,4.49,4.38,4.35,4.38,4.37,19808,373569,2015-06-22,0.0,0.032183908046,0.0,0.025171624714,ARNA,9.3,10.0,353761,17.8595012116,0,0
4.49,4.47,4.5,4.49,4.49,4.46,4.5,4.49,8438,53325,2015-06-23,0.0022271714922,0.0067264573991,-0.00222222222222,-0.00445434298441,ARNA,9.3,10.0,44887,5.31962550367,1,1
4.43,4.465,4.43,4.47,4.43,4.39,4.43,4.4,20772,132555,2015-06-24,0.0,0.0182232346241,0.0,0.0147727272727,ARNA,9.3,10.0,111783,5.38142692085,2,2
4.39,4.415,4.39,4.42,4.39,4.35,4.39,4.361,6536,204885,2015-06-25,0.0,0.016091954023,0.0,0.0123824810823,ARNA,9.3,10.0,198349,30.3471542228,3,3
4.35,4.36,4.35,4.39,4.35,4.3125,4.35,4.3125,10101,239533,2015-06-26,0.0,0.0179710144928,0.0,0.0110144927536,ARNA,9.3,10.0,229432,22.7137907138,4,4
4.33,4.385,4.33,4.42,4.33,4.3,4.33,4.3,12268,180100,2015-06-29,0.0,0.0279069767442,0.0,0.0197674418605,ARNA,9.3,10.0,167832,13.6804695142,0,0
4.31,4.405,4.33,4.44,4.31,4.311,4.33,4.33,13562,463002,2015-06-30,0.0046403712297,0.0299234516354,-0.00461893764434,0.0173210161663,ARNA,9.3,10.0,449440,33.1396549182,1,1
4.65,4.53,4.65,4.72,4.64,4.5,4.64,4.64,16368,439623,2015-07-01,0.00215517241379,0.0488888888889,0.00215517241379,-0.0237068965517,ARNA,9.3,10.0,423255,25.8586876833,2,2
4.45,4.4328,4.5,4.5,4.45,4.42,4.5,4.45,18482,88199,2015-07-02,0.0112359550562,0.0180995475113,-0.0111111111111,-0.00386516853933,ARNA,9.3,10.0,69717,3.772156693,3,3
4.39,4.565,4.39,4.58,4.39,4.36,4.39,4.4,9951,264437,2015-07-06,0.0,0.0504587155963,0.0,0.0375,ARNA,9.3,10.0,254486,25.5739121696,0,0
4.5,4.54,4.51,4.599,4.5,4.48,4.51,4.5,8035,473197,2015-07-07,0.00222222222222,0.0265625,-0.00221729490022,0.00888888888889,ARNA,9.3,10.0,465162,57.8919726198,1,1
4.44,4.375,4.44,4.45,4.44,4.35,4.44,4.44,13279,316380,2015-07-08,0.0,0.0229885057471,0.0,-0.0146396396396,ARNA,9.3,10.0,303101,22.8255892763,2,2
4.25,4.34,4.25,4.35,4.25,4.23,4.25,4.23,19492,235072,2015-07-09,0.0,0.0283687943262,0.0,0.0260047281324,ARNA,9.3,10.0,215580,11.0599220193,3,3
4.29,4.215,4.3,4.32,4.29,4.21,4.29,4.3,15638,201951,2015-07-10,0.002331002331,0.0261282660333,0.0,-0.0197674418605,ARNA,9.3,10.0,186313,11.9141194526,4,4
4.3,4.31,4.3,4.35,4.3,4.29,4.3,4.3,12694,108810,2015-07-13,0.0,0.013986013986,0.0,0.00232558139535,ARNA,9.3,10.0,96116,7.57176618875,0,0
4.38,4.46,4.38,4.46,4.38,4.4,4.38,4.42,1915,452954,2015-07-14,0.0,0.0136363636364,0.0,0.00904977375566,ARNA,9.3,10.0,451039,235.529503916,1,1
4.65,4.905,4.65,5.12,4.6,4.6,4.61,4.67,169034,5001745,2015-07-15,0.0108695652174,0.113043478261,0.00867678958785,0.0503211991435,ARNA,9.3,10.0,4832711,28.5901712082,2,2
4.74,4.69,4.74,4.863,4.74,4.68,4.74,4.7852,52816,934883,2015-07-16,0.0,0.0391025641026,0.0,-0.0198946752487,ARNA,9.3,10.0,882067,16.7007535595,3,3
4.68,4.63,4.68,4.69,4.68,4.6199,4.68,4.69,53894,374092,2015-07-17,0.0,0.0151734886036,0.0,-0.0127931769723,ARNA,9.3,10.0,320198,5.94125505622,4,4
4.55,4.5,4.55,4.54,4.53,4.45,4.53,4.54,16824,314813,2015-07-20,0.00441501103753,0.0202247191011,0.00441501103753,-0.00881057268722,ARNA,9.3,10.0,297989,17.7121374227,0,0
4.33,4.33,4.33,4.37,4.33,4.29,4.33,4.33,9016,237328,2015-07-21,0.0,0.018648018648,0.0,0.0,ARNA,9.3,10.0,228312,25.3229813665,1,1
4.24,4.24,4.24,4.27,4.24,4.205,4.24,4.26,24392,229977,2015-07-22,0.0,0.0154577883472,0.0,-0.00469483568075,ARNA,9.3,10.0,205585,8.42837815677,2,2
4.26,4.27,4.26,4.31,4.26,4.215,4.26,4.2415,9988,331598,2015-07-23,0.0,0.0225385527877,0.0,0.00671932099493,ARNA,9.3,10.0,321610,32.1996395675,3,3
4.11,4.14,4.11,4.16,4.11,4.05,4.11,4.15,18525,198605,2015-07-24,0.0,0.0271604938272,0.0,-0.00240963855422,ARNA,9.3,10.0,180080,9.72091767881,4,4
4.03,4.046,4.03,4.07,4.0,3.94,4.02,4.01,26029,389544,2015-07-27,0.0075,0.0329949238579,0.00248756218905,0.00897755610973,ARNA,9.3,10.0,363515,13.96576895,0,0
4.04,4.01,4.04,4.04,4.04,3.94,4.04,4.01,5900,163428,2015-07-28,0.0,0.0253807106599,0.0,0.0,ARNA,9.3,10.0,157528,26.6996610169,1,1
4.13,4.135,4.14,4.17,4.13,4.07,4.14,4.13,13572,285965,2015-07-29,0.00242130750605,0.02457002457,-0.0024154589372,0.00121065375303,ARNA,9.3,10.0,272393,20.0702180961,2,2
4.07,3.88,4.07,4.08,4.04,3.88,4.04,4.08,9408,444820,2015-07-30,0.00742574257426,0.0515463917526,0.00742574257426,-0.0490196078431,ARNA,9.3,10.0,435412,46.281037415,3,3
3.97,3.99,3.97,4.02,3.97,3.94,3.97,3.94,18494,157534,2015-07-31,0.0,0.0203045685279,0.0,0.0126903553299,ARNA,9.3,10.0,139040,7.51811398291,4,4
4.03,4.06,4.03,4.08,4.03,4.0,4.03,4.03,7005,114227,2015-08-03,0.0,0.02,0.0,0.00744416873449,ARNA,9.3,10.0,107222,15.3064953605,0,0
4.07,4.0039,4.07,4.0774,4.07,4.0,4.07,4.03,5219,124269,2015-08-04,0.0,0.01935,0.0,-0.00647642679901,ARNA,9.3,10.0,119050,22.810883311,1,1
4.08,4.005,4.08,4.0601,4.08,3.98,4.08,4.0601,9804,125590,2015-08-05,0.0,0.0201256281407,0.0,-0.013571094308,ARNA,9.3,10.0,115786,11.8100775194,2,2
3.97,3.87,3.97,3.99,3.95,3.85,3.95,3.97,13626,581350,2015-08-06,0.00506329113924,0.0363636363636,0.00506329113924,-0.0251889168766,ARNA,9.3,10.0,567724,41.6647585498,3,3
3.71,3.695,3.71,3.738,3.7,3.52,3.7,3.738,44646,443476,2015-08-07,0.0027027027027,0.0619318181818,0.0027027027027,-0.0115034777956,ARNA,9.3,10.0,398830,8.93316310532,4,4
3.51,3.58,3.51,3.64,3.51,3.5,3.51,3.5,15526,321641,2015-08-10,0.0,0.04,0.0,0.0228571428571,ARNA,9.3,10.0,306115,19.7162823651,0,0
3.47,3.5,3.47,3.58,3.47,3.45,3.47,3.46,6207,184703,2015-08-11,0.0,0.0376811594203,0.0,0.0115606936416,ARNA,9.3,10.0,178496,28.7572096021,1,1
3.35,3.42,3.35,3.44,3.35,3.35,3.35,3.35,11996,389613,2015-08-12,0.0,0.0268656716418,0.0,0.0208955223881,ARNA,9.3,10.0,377617,31.4785761921,2,2
3.47,3.47,3.47,3.51,3.47,3.43,3.47,3.45,5742,301223,2015-08-13,0.0,0.0233236151603,0.0,0.00579710144928,ARNA,9.3,10.0,295481,51.4595959596,3,3
3.36,3.3899,3.36,3.44,3.36,3.3502,3.36,3.3502,13370,107543,2015-08-14,0.0,0.0268043698884,0.0,0.0118500388037,ARNA,9.3,10.0,94173,7.04360508601,4,4
3.38,3.4,3.38,3.4121,3.38,3.33,3.38,3.39,13306,142444,2015-08-17,0.0,0.0246546546547,0.0,0.00294985250737,ARNA,9.3,10.0,129138,9.7052457538,0,0
3.42,3.36,3.42,3.44,3.42,3.34,3.42,3.41,5650,133670,2015-08-18,0.0,0.0299401197605,0.0,-0.0146627565982,ARNA,9.3,10.0,128020,22.6584070796,1,1
3.21,3.145,3.21,3.21,3.21,3.135,3.21,3.21,10154,206543,2015-08-19,0.0,0.0239234449761,0.0,-0.0202492211838,ARNA,9.3,10.0,196389,19.3410478629,2,2
3.0,2.983,3.0,3.02,3.0,2.96,3.0,3.01,10680,318922,2015-08-20,0.0,0.0202702702703,0.0,-0.00897009966777,ARNA,9.3,10.0,308242,28.8616104869,3,3
2.76,2.8892,2.76,2.89,2.74,2.74,2.74,2.76,190036,1061165,2015-08-21,0.00729927007299,0.0547445255474,0.00729927007299,0.0468115942029,ARNA,9.3,10.0,871129,4.58402092235,4,4
2.75,2.74,2.75,2.82,2.75,2.623,2.75,2.7901,81046,291260,2015-08-24,0.0,0.0751048417842,0.0,-0.0179563456507,ARNA,9.3,10.0,210214,2.5937615675,0,0
2.82,2.72,2.82,2.89,2.82,2.71,2.82,2.89,11048,366379,2015-08-25,0.0,0.0664206642066,0.0,-0.0588235294118,ARNA,9.3,10.0,355331,32.1624728458,1,1
2.76,2.69,2.7699,2.75,2.71,2.65,2.72,2.75,62168,412424,2015-08-26,0.0221033210332,0.0377358490566,0.0147058823529,-0.0218181818182,ARNA,9.3,10.0,350256,5.63402393514,2,2
2.72,2.6499,2.72,2.75,2.72,2.62,2.72,2.71,30590,370305,2015-08-27,0.0,0.0496183206107,0.0,-0.0221771217712,ARNA,9.3,10.0,339715,11.10542661,3,3
2.64,2.65,2.64,2.66,2.64,2.57,2.64,2.66,37958,383596,2015-08-28,0.0,0.0350194552529,0.0,-0.00375939849624,ARNA,9.3,10.0,345638,9.10580114864,4,4
2.71,2.75,2.71,2.82,2.71,2.7099,2.71,2.71,12838,479637,2015-08-31,0.0,0.040628805491,0.0,0.0147601476015,ARNA,9.3,10.0,466799,36.3607259698,0,0
7.2,7.1601,7.2,7.2,7.2,7.04,7.2,7.19,10763,121296,2015-06-22,0.0,0.0227272727273,0.0,-0.00415855354659,ARWR,9.3,10.0,110533,10.2697203382,0,0
7.14,7.03,7.14,7.18,7.14,7.01,7.14,7.15,14914,151373,2015-06-23,0.0,0.0242510699001,0.0,-0.0167832167832,ARWR,9.3,10.0,136459,9.14972509052,1,1
7.41,7.3368,7.41,7.5,7.41,7.309,7.41,7.41,8139,116798,2015-06-24,0.0,0.026132165823,0.0,-0.00987854251012,ARWR,9.3,10.0,108659,13.3504115985,2,2
7.29,7.2599,7.29,7.35,7.29,7.16,7.29,7.35,7484,104316,2015-06-25,0.0,0.0265363128492,0.0,-0.0122585034014,ARWR,9.3,10.0,96832,12.9385355425,3,3
7.18,7.27,7.18,7.29,7.18,7.06,7.18,7.245,6004,123010,2015-06-26,0.0,0.0325779036827,0.0,0.00345065562457,ARWR,9.3,10.0,117006,19.4880079947,4,4
7.02,6.91,7.02,7.07,7.02,6.87,7.02,7.02,7223,195984,2015-06-29,0.0,0.0291120815138,0.0,-0.0156695156695,ARWR,9.3,10.0,188761,26.1333241036,0,0
6.96,7.01,6.96,7.0629,6.96,6.96,6.96,7.0,10677,79137,2015-06-30,0.0,0.0147844827586,0.0,0.00142857142857,ARWR,9.3,10.0,68460,6.41191345884,1,1
7.23,7.31,7.23,7.4,7.23,7.24,7.23,7.24,4163,134256,2015-07-01,0.0,0.0220994475138,0.0,0.00966850828729,ARWR,9.3,10.0,130093,31.2498198415,2,2
6.98,6.84,6.98,7.1198,6.98,6.8012,6.98,6.875,3148,117705,2015-07-02,0.0,0.0468446744692,0.0,-0.00509090909091,ARWR,9.3,10.0,114557,36.3904066074,3,3
6.8,7.02,6.81,7.02,6.78,6.73,6.8,6.8,14518,158818,2015-07-06,0.00442477876106,0.0430906389302,0.0,0.0323529411765,ARWR,9.3,10.0,144300,9.9393855903,0,0
